Sr No,startup,vertical,city,investors,round,amount,year,state
953,Ather Energy,EV,Bengaluru,Hero motocorp,Private Equity,222.75,2016,Karnataka
954,Athletto,Consumer Internet,Bengaluru,Atul ingle,Seed Funding,0,2016,Karnataka
955,Atomberg,Households,Mumbai,Parampara capital,Private Equity,8.25,2016,Maharashtra
956,Augrav,E-Commerce,Coimbatore,Keiretsu forum,Seed Funding,3.71,2016,Tamil Nadu
957,AutoSense,Technology,New Delhi,Tvs automobile solutions ltd,Private Equity,0,2016,Delhi
958,Avagmah,Consumer Internet,Bengaluru,"Kris gopalakrishnan, Atul nishar",Seed Funding,0,2016,Karnataka
959,Avanti Learning,Education,New Delhi,Michael & susan dell foundation,Private Equity,41.25,2016,Delhi
960,Awesummly,Consumer Internet,Bengaluru,"Vivek bhargava, Ameera shah",Seed Funding,1.21,2016,Karnataka
961,Azuro,Consumer Internet,Mumbai,"White unicorn ventures, Kae capital, Mumbai angels",Private Equity,0,2016,Maharashtra
962,B9 Beverages,Food ,New Delhi,"Sequoia capital, Kunal bahl, Rohit bansal, Deepinder goyal, Ashish dhawan, Mayank singhal",Private Equity,49.5,2016,Delhi
963,Baby Berry,Consumer Internet,Bengaluru,Nitin bagmane & other undisclosed investors,Seed Funding,8.25,2016,Karnataka
964,BabyChakra,Consumer Internet,Mumbai,Roundglass partners,Private Equity,0,2016,Maharashtra
965,Babygogo,Consumer Internet,New Delhi,"Rajul garg, Daljit singh, Aditya vij, Kishore kumar, Shuchin bajaj",Seed Funding,2.48,2016,Delhi
966,Badiyajobs,Consumer Internet,New Delhi,Undisclosed,Seed Funding,0.83,2016,Delhi
967,BaggOut,E-Commerce,New Delhi,"Sumit jain, Sumit jain, Anurag gupta, Varun khanna, Faraz khan",Seed Funding,0,2016,Delhi
968,BankerBay,FinTech,Bengaluru,Undisclosed investors,Private Equity,16.5,2016,Karnataka
969,Bats on delivery,Consumer Internet,Gurugram,Devdeep singh,Seed Funding,0.74,2016,Haryana
970,BeaconsTalk,Technology,Mumbai,"Rajeev agrawal, Prashant gooty",Seed Funding,0.83,2016,Maharashtra
971,Beardo,E-Commerce,Ahmedabad,Venture catalysts,Seed Funding,4.13,2016,Gujarat
972,BeatRoute,Technology,Gurugram,Quarizon consultancy services llp,Seed Funding,0,2016,Haryana
973,BedBathMore,Consumer Internet,Mumbai,"Kinnevik group, Rocket internet",Private Equity,0,2016,Maharashtra
974,Betaout,Technology,Noida,"Stanford angels, Letsventure, Chennai angels, Hyderabad angels, Mumbai angels",Private Equity,12.38,2016,Uttar Pradesh
975,BetterPlace,Services,Bengaluru,Unitus seed fund,Seed Funding,8,2016,Karnataka
976,Betterplace,Services,Bengaluru,Venture highway,Seed Funding,0,2016,Karnataka
977,Beyond Evolution,Technology,Gurugram,"Vineet taneja, Kamal puri",Seed Funding,0,2016,Haryana
978,Bharat Bazaar,E-Commerce,Mumbai,"Beenext, Tv mohandas pai, Kunal shah, Sandeep tandon",Seed Funding,0,2016,Maharashtra
979,BHIVE,Hospitality,Bengaluru,Blume ventures,Private Equity,8.25,2016,Karnataka
980,BHIVE,Hospitality,Bengaluru,"Raghunandan g, Venturesity, Arihant patni",Seed Funding,0,2016,Karnataka
981,Big Basket,E-Commerce,Bengaluru,Abraaj group,Private Equity,1237.5,2016,Karnataka
982,Big Fish Ventures,Food ,New Delhi,Undisclosed investors,Private Equity,91.58,2016,Delhi
983,BigStylist,Personal Care,Mumbai,Info edge (india) ltd,Private Equity,7.43,2016,Maharashtra
984,Bikxie,Consumer Internet,Gurugram,Undisclosed investors,Seed Funding,0,2016,Haryana
985,Biryani Blues,Food ,Gurugram,Carpediem capital & others,Private Equity,3.04,2016,Haryana
